time, y-4, vel-4, acel-4, force-4

0, 0, 0, 0, 0, 0, 0, 0, 0, -10813,074689895222, 1663,5499522915727, -7,105427357601002E-13, 10813,07468989522, 0, 100, 0, 0, 
8,168140899333462, -120,51082271692081, -29,79162513851167, 1,4210854715202004E-14, 120,5108227169207, -900,2138397735811, -199,36231428543115, 7,350615263826797E-14, 900,2138397735815, 3985,7216418185035, -2170,4129141491294, -3,3390652588717983E-12, -3985,7216418184944, 0, 100, 0, 0, 
8,79645943005142, -108,60054995515829, -27,308013929057193, -8,659739592076221E-15, 108,60054995515823, 938,1254154457264, 207,26789429949358, -1,4630551534732182E-13, -938,1254154457266, 1865,8939491420197, 3464,7570682847136, 2,6393829886881756E-12, -1865,8939491420315, 0, 100, 0, 0, 
9,42477796076938, -25,56216764887928, -5,8443853127558505, 1,176836406102666E-14, 25,56216764887914, -673,8060352377487, -138,94704248003328, 2,113301888350204E-13, 673,8060352377487, -6996,831115173315, -4566,793439498909, -1,5009931857527638E-12, 6996,831115173329, 0, 100, 0, 0, 
10,053096491487338, -176,67457322702586, -44,466365667883935, -5,995204332975845E-15, 176,6745732270258, 192,80030903236218, 16,009460769699075, -2,678733831721496E-13, -192,80030903236195, 9755,324783281016, 5060,0353086275145, -2,4359158891918574E-14, -9755,324783281027, 0, 100, 0, 0, 
10,681415022205297, -6,3765911565535305, -1,034399386345271, -6,661338147750939E-16, 6,376591156553417, 349,27500386945064, 122,23878166844901, 2,848363414732884E-13, -349,275003869451, -9257,250360238646, -4721,89687818089, 1,7836888543375554E-12, 9257,250360238653, 0, 100, 0, 0, 
11,309733552923255, -140,76871346771514, -35,3615410098349, 1,1102230246251565E-15, 140,7687134677151, -777,05841543809, -231,5054671003275, -2,791820220395755E-13, 777,0584154380906, 5672,0197351908155, 3595,8939625432913, -3,579015065291032E-12, -5672,019735190821, 0, 100, 0, 0, 
11,938052083641214, -85,76008749711622, -21,120840301489437, -7,771561172376096E-15, 85,76008749711616, 952,1563101563705, 276,8350253168362, 2,5091042487101095E-13, -952,1563101563711, -167,75831027773893, -1977,7959197040964, 5,266351729720991E-12, 167,75831027774075, 0, 100, 0, 0, 
12,566370614359172, -43,58213090778249, -10,777728476298176, 7,771561172376096E-15, 43,58213090778242, -817,8997045422137, -243,91187783820772, -2,0143512982602293E-13, 817,8997045422143, -5466,504975498666, 320,2070449656612, -6,706212350034557E-12, 5466,504975498668, 0, 100, 0, 0, 
13,194689145077131, -169,31775064160374, -42,26372907313291, -1,176836406102666E-14, 169,3177506416037, 417,6707964750034, 143,68882517459542, 1,3923761605518083E-13, -417,67079647500395, 9399,448031007061, 913,5643116419651, 7,790607379708211E-12, -9399,448031007068, 0, 100, 0, 0, 
13,82300767579509, -0,6776269574583011, 0,09911975085221059, 1,84297022087776E-14, 0,6776269574581875, 119,12738928420379, -8,843689298757084, -4,311418568206121E-14, -119,12738928420356, -10349,741210645305, -1399,0903848553676, -8,371051192272119E-12, 10349,741210645316, 0, 100, 0, 0, 
14,451326206513048, -157,6923017587884, -39,36980726284129, -1,354472090042691E-14, 157,69230175878837, -618,9206219361668, -116,78980735649412, -5,866356412477133E-14, 618,9206219361668, 8000,461426148013, 1055,4872193259644, 8,32155598344884E-12, -8000,461426148024, 0, 100, 0, 0, 
15,079644737231007, -63,07466090121294, -15,616540313739591, 2,19824158875781E-14, 63,07466090121282, 920,097926859703, 192,3988043471117, 1,717499527990297E-13, -920,0979268597034, -3101,6132351284523, -71,30930131897412, -7,588126979976621E-12, 3101,6132351284614, 0, 100, 0, 0, 
